Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Jordan,5 166,5 037,10 203,77.0,78.8,77.9,68.1,67.2,67.6,46,100,15,9,0.01,5,-,0.56,  23,15.3,1.6,0.5,17,56.7,27.0,0.4,60,-,-,51.2,0.6,0.5,34.8,77,90,-,-,11.29,-,26.6,33.5,7.8,10.4,52,58,65,12.8,7.3,2.4,7.1,37.7,13,24,86,82,-,82,366.71,100,32.8,2.7,0,37.7,12.9,35.5
Kazakhstan,9 113,9 664,18 777,70.0,77.6,74.0,62.4,67.4,65.0,10,100,10,5,0.19,69,-,0.15,  664,22.4,17.6,5,12.7,73.2,24.6,0.0,76,2.5,0.1,62.7,0.4,1.9,23.2,88,91,89,-,0.39,-,40.7,72.9,2.9,8.1,88,-,-,8.2,6.7,3.1,8.8,28.7,6,16,89,-,-,36,0.64,93,25.6,5.1,0,41.9,6.5,21.0
Kenya,26 719,27 053,53 771,63.7,68.4,66.1,56.4,58.9,57.7,342,70,42,20,0.72,259,50.9,0.4,8 596 922,21,6.1,2.1,28.3,74.4,81.1,0.7,56,5.0,1.3,78.1,51.2,2.4,11.1,89,49,90,16,4.02,-,1.6,11.7,0.2,0.2,57,25,0,8.3,19.4,4.2,4.5,28.7,23,38,-,-,27,-,196.23,20,24.1,5.6,0,33.2,2.3,7.1
Kiribati, 59, 61, 119,56.1,62.8,59.4,50.5,54.9,52.6,92,92,50,21,-,425,-,1.57, 124 250,50.8,28.3,2.3,1.9,53.1,50.6,1.8,51,-,-,140.2,16.7,2.6,40.6,92,57,91,-,58.92,-,2.0,38.3,0.7,0.3,64,-,-,7.4,14.9,3.5,2.4,32.6,25,53,15,27,56,31,5.01,10,11.6,4.8,0,42.3,23.0,46.0
Kuwait,2 614,1 656,4 271,79.3,83.9,81.0,69.5,71.1,70.1,12,100,9,5,-,19,-,0.03,  16,11.9,2.9,0,15.4,-,6.2,0.0,70,-,-,103.8,<0.1,0.4,17.9,-,-,-,-,-,-,23.4,46.8,6.7,4.9,83,100,100,8.9,6.0,2.5,7.1,23.7,-,-,100,100,-,85,-,100,65.0,1.8,0,40.5,22.9,37.9
Kyrgyzstan,3 227,3 297,6 524,70.7,77.3,74.2,63.6,67.7,65.8,60,100,18,12,0.11,105,-,0.15,2 169 854,20.3,7.4,4.9,12.7,64.6,34.0,0.0,70,3.5,0.7,110.7,0.8,0.9,25.4,87,93,90,-,3.77,0.0,22.1,56.0,1.9,0.4,41,-,-,7.1,11.4,2.0,5.8,35.8,13,23,70,92,100,19,24.43,77,28.2,4.6,0,40.9,3.9,16.6
Lao People's Democratic Republic,3 652,3 624,7 276,66.2,70.9,68.5,59.2,61.9,60.5,185,64,44,22,0.13,149,1.5,0.68,2 052 528,26.8,5.4,12.1,17.9,72.3,83.4,2.6,50,-,-,188.5,11.3,0.6,31.8,79,47,77,-,8.61,25.3,3.5,11.9,0.8,2.3,38,50,51,4.7,30.2,9.0,3.0,39.5,8,19,18,61,56,10,73.98,8,21.8,6.6,0,28.5,4.7,5.3
Latvia, 869,1 017,1 886,70.6,79.8,75.4,62.9,69.3,66.2,19,100,4,2,-,23,-,0.27,  2,21.6,20.1,13.2,8.1,-,10.8,0.0,72,21.4,5.7,41.3,<0.1,1.2,37.0,99,94,91,57,-,-,34.0,44.3,7.1,8.7,69,14,33,10.4,-,-,-,21.6,6,25,96,83,-,93,-,100,14.4,5.0,0,43.9,7.0,23.6
Lebanon,3 436,3 390,6 825,74.0,79.2,76.4,65.1,67.0,66.0,29,-,7,4,0.03,13,-,0.07,  0,19.9,2.8,1.5,16.4,-,11.7,-,72,26.6,6.3,51.4,0.8,0.6,38.2,71,64,74,-,12.30,52.5,22.1,16.7,10.2,12.9,66,35,56,13.4,10.4,-,19.7,28.3,-,-,48,16,-,-,120.77,-,30.7,4.2,0,38.1,13.9,32.0
Lesotho,1 057,1 085,2 142,47.7,54.2,50.7,42.3,46.4,44.2,544,87,90,44,4.91,650,-,1.22, 387 421,42.7,72.4,5.1,31.9,82.8,90.8,0.1,48,-,-,177.6,44.4,5.2,24.3,87,69,87,-,2.88,-,4.7,32.6,0.2,1.9,37,-,-,8.8,32.1,2.1,7.2,27.9,16,40,29,48,6,-,9.94,40,25.8,43.5,0,40.1,5.0,16.6
Liberia,2 543,2 515,5 058,63.2,65.0,64.1,54.9,55.0,54.9,661,84,78,31,0.29,314,358.0,4.66,3 180 960,17.8,4.4,5.4,38.9,41,128.0,3.8,42,6.8,1.1,170.2,41.5,1.7,8.2,65,30,65,18,10.02,-,0.5,19.5,<0.1,2.2,54,13,40,4.0,28.0,3.4,4.7,42.6,27,43,-,-,-,-,24.50,<1,52.0,9.7,0,39.4,1.9,9.9
